#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu04270	Vascular smooth muscle contraction	20	125	6.13e-10	ENSMUSP00000015100,ENSMUSP00000023538,ENSMUSP00000028970,ENSMUSP00000029540,ENSMUSP00000029635,ENSMUSP00000032192,ENSMUSP00000048918,ENSMUSP00000060149,ENSMUSP00000069257,ENSMUSP00000069549,ENSMUSP00000085913,ENSMUSP00000087525,ENSMUSP00000087756,ENSMUSP00000095253,ENSMUSP00000099473,ENSMUSP00000105736,ENSMUSP00000108413,ENSMUSP00000114578,ENSMUSP00000131406,ENSMUSP00000140275	Adra1d,Cacna1c,Gucy1a3,Gucy1b3,Itpr1,Kcnma1,Mrvi1,Myh11,Myl9,Mylk,Mylk2,Mylk4,Npr1,Pla2g4e,Plcb4,Ppp1cb,Ppp1r12a,Ppp1r12b,Ramp1,Rock1
mmu04022	cGMP-PKG signaling pathway	20	164	2.51e-08	ENSMUSP00000015100,ENSMUSP00000023538,ENSMUSP00000028970,ENSMUSP00000029540,ENSMUSP00000029635,ENSMUSP00000032192,ENSMUSP00000047353,ENSMUSP00000048918,ENSMUSP00000060149,ENSMUSP00000069011,ENSMUSP00000069257,ENSMUSP00000069549,ENSMUSP00000085913,ENSMUSP00000099473,ENSMUSP00000105736,ENSMUSP00000108413,ENSMUSP00000114578,ENSMUSP00000128926,ENSMUSP00000132547,ENSMUSP00000140275	Adra1d,Atp1b2,Cacna1c,Gucy1a3,Gucy1b3,Itpr1,Kcnma1,Mef2c,Mrvi1,Myl9,Mylk,Mylk2,Mylk4,Npr1,Pde5a,Plcb4,Ppp1cb,Ppp1r12a,Rock1,Slc8a2
mmu04921	Oxytocin signaling pathway	19	149	2.51e-08	ENSMUSP00000015100,ENSMUSP00000023538,ENSMUSP00000028970,ENSMUSP00000029540,ENSMUSP00000029635,ENSMUSP00000030243,ENSMUSP00000032192,ENSMUSP00000046539,ENSMUSP00000048918,ENSMUSP00000060149,ENSMUSP00000069257,ENSMUSP00000069549,ENSMUSP00000085913,ENSMUSP00000087525,ENSMUSP00000105736,ENSMUSP00000108413,ENSMUSP00000110371,ENSMUSP00000131406,ENSMUSP00000132547	Cacna1c,Cacnb2,Camk4,Gucy1a3,Gucy1b3,Itpr1,Mef2c,Myl9,Mylk,Mylk2,Mylk4,Npr1,Pla2g4e,Plcb4,Ppp1cb,Ppp1r12a,Ppp1r12b,Prkaa2,Rock1
mmu04510	Focal adhesion	16	195	0.00011	ENSMUSP00000015100,ENSMUSP00000023538,ENSMUSP00000028106,ENSMUSP00000028970,ENSMUSP00000060149,ENSMUSP00000069257,ENSMUSP00000069549,ENSMUSP00000084282,ENSMUSP00000085913,ENSMUSP00000090304,ENSMUSP00000096040,ENSMUSP00000098765,ENSMUSP00000108553,ENSMUSP00000109084,ENSMUSP00000128388,ENSMUSP00000131406	Col4a3,Col4a4,Col4a5,Col4a6,Col6a6,Itga8,Lama2,Myl9,Mylk,Mylk2,Mylk4,Pdgfd,Ppp1cb,Ppp1r12a,Ppp1r12b,Rock1
mmu04611	Platelet activation	12	122	0.00031	ENSMUSP00000015100,ENSMUSP00000023538,ENSMUSP00000028970,ENSMUSP00000029635,ENSMUSP00000032192,ENSMUSP00000048918,ENSMUSP00000060149,ENSMUSP00000069257,ENSMUSP00000069549,ENSMUSP00000087525,ENSMUSP00000105736,ENSMUSP00000109104	Gucy1a3,Gucy1b3,Itpr1,Mylk,Mylk2,Mylk4,Pla2g4e,Plcb4,Ppp1cb,Ppp1r12a,Rasgrp2,Rock1
mmu04810	Regulation of actin cytoskeleton	15	208	0.00056	ENSMUSP00000015100,ENSMUSP00000023538,ENSMUSP00000025800,ENSMUSP00000028106,ENSMUSP00000028239,ENSMUSP00000028970,ENSMUSP00000045710,ENSMUSP00000060149,ENSMUSP00000069257,ENSMUSP00000069549,ENSMUSP00000077781,ENSMUSP00000085913,ENSMUSP00000099671,ENSMUSP00000128388,ENSMUSP00000131406	Enah,Fgf1,Gsn,Itga8,Myh10,Myl9,Mylk,Mylk2,Mylk4,Pdgfd,Pip5k1b,Ppp1cb,Ppp1r12a,Ppp1r12b,Rock1
mmu05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	9	71	0.00056	ENSMUSP00000028106,ENSMUSP00000029611,ENSMUSP00000076459,ENSMUSP00000077106,ENSMUSP00000090304,ENSMUSP00000101080,ENSMUSP00000108413,ENSMUSP00000109633,ENSMUSP00000110371	Cacna1c,Cacnb2,Ctnna3,Dmd,Itga8,Lama2,Lef1,Sgcd,Sgcg
mmu05410	Hypertrophic cardiomyopathy (HCM)	9	82	0.0012	ENSMUSP00000028106,ENSMUSP00000030184,ENSMUSP00000030243,ENSMUSP00000076459,ENSMUSP00000077106,ENSMUSP00000090304,ENSMUSP00000108413,ENSMUSP00000109633,ENSMUSP00000110371	Cacna1c,Cacnb2,Dmd,Itga8,Lama2,Prkaa2,Sgcd,Sgcg,Tpm2
mmu04512	ECM-receptor interaction	8	81	0.0054	ENSMUSP00000028106,ENSMUSP00000040071,ENSMUSP00000084282,ENSMUSP00000090304,ENSMUSP00000096040,ENSMUSP00000098765,ENSMUSP00000108553,ENSMUSP00000109084	Col4a3,Col4a4,Col4a5,Col4a6,Col6a6,Itga8,Lama2,Npnt
mmu04371	Apelin signaling pathway	10	134	0.0071	ENSMUSP00000023538,ENSMUSP00000028970,ENSMUSP00000030243,ENSMUSP00000032192,ENSMUSP00000046539,ENSMUSP00000060149,ENSMUSP00000077314,ENSMUSP00000105736,ENSMUSP00000128926,ENSMUSP00000132547	Camk4,Gng8,Itpr1,Mef2c,Mylk,Mylk2,Mylk4,Plcb4,Prkaa2,Slc8a2
mmu05414	Dilated cardiomyopathy (DCM)	8	86	0.0071	ENSMUSP00000028106,ENSMUSP00000030184,ENSMUSP00000076459,ENSMUSP00000077106,ENSMUSP00000090304,ENSMUSP00000108413,ENSMUSP00000109633,ENSMUSP00000110371	Cacna1c,Cacnb2,Dmd,Itga8,Lama2,Sgcd,Sgcg,Tpm2
mmu04024	cAMP signaling pathway	12	194	0.0079	ENSMUSP00000011315,ENSMUSP00000015100,ENSMUSP00000026474,ENSMUSP00000029540,ENSMUSP00000045530,ENSMUSP00000046539,ENSMUSP00000047353,ENSMUSP00000069257,ENSMUSP00000069549,ENSMUSP00000078047,ENSMUSP00000085913,ENSMUSP00000108413	Atp1b2,Cacna1c,Camk4,Gli1,Hhip,Myl9,Npr1,Npy1r,Ppp1cb,Ppp1r12a,Rock1,Vipr2
mmu04924	Renin secretion	7	69	0.0079	ENSMUSP00000029540,ENSMUSP00000029635,ENSMUSP00000032192,ENSMUSP00000048918,ENSMUSP00000105736,ENSMUSP00000108413,ENSMUSP00000140275	Cacna1c,Gucy1a3,Gucy1b3,Itpr1,Kcnma1,Npr1,Plcb4
