#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
MMU-168256	Immune System	180	1523	2.96e-36	ENSMUSP00000000137,ENSMUSP00000000608,ENSMUSP00000001513,ENSMUSP00000001547,ENSMUSP00000002284,ENSMUSP00000003370,ENSMUSP00000003981,ENSMUSP00000004784,ENSMUSP00000005185,ENSMUSP00000005889,ENSMUSP00000006235,ENSMUSP00000006435,ENSMUSP00000006467,ENSMUSP00000006764,ENSMUSP00000008032,ENSMUSP00000010605,ENSMUSP00000015171,ENSMUSP00000015484,ENSMUSP00000015664,ENSMUSP00000015667,ENSMUSP00000016094,ENSMUSP00000016400,ENSMUSP00000017188,ENSMUSP00000017604,ENSMUSP00000017821,ENSMUSP00000019232,ENSMUSP00000019997,ENSMUSP00000020911,ENSMUSP00000021607,ENSMUSP00000021860,ENSMUSP00000021933,ENSMUSP00000022124,ENSMUSP00000022169,ENSMUSP00000022368,ENSMUSP00000022616,ENSMUSP00000022904,ENSMUSP00000023687,ENSMUSP00000024575,ENSMUSP00000024599,ENSMUSP00000024791,ENSMUSP00000024932,ENSMUSP00000025523,ENSMUSP00000026122,ENSMUSP00000026613,ENSMUSP00000027012,ENSMUSP00000027368,ENSMUSP00000027559,ENSMUSP00000027667,ENSMUSP00000027684,ENSMUSP00000028332,ENSMUSP00000028499,ENSMUSP00000028882,ENSMUSP00000029046,ENSMUSP00000029053,ENSMUSP00000029175,ENSMUSP00000029515,ENSMUSP00000029574,ENSMUSP00000029748,ENSMUSP00000029900,ENSMUSP00000029912,ENSMUSP00000030336,ENSMUSP00000030434,ENSMUSP00000030464,ENSMUSP00000030693,ENSMUSP00000031327,ENSMUSP00000031668,ENSMUSP00000031985,ENSMUSP00000032240,ENSMUSP00000032265,ENSMUSP00000032479,ENSMUSP00000032779,ENSMUSP00000032800,ENSMUSP00000033053,ENSMUSP00000033313,ENSMUSP00000033418,ENSMUSP00000034000,ENSMUSP00000034121,ENSMUSP00000034285,ENSMUSP00000034594,ENSMUSP00000034756,ENSMUSP00000034915,ENSMUSP00000035400,ENSMUSP00000035658,ENSMUSP00000035781,ENSMUSP00000036270,ENSMUSP00000036747,ENSMUSP00000038841,ENSMUSP00000040229,ENSMUSP00000040246,ENSMUSP00000043167,ENSMUSP00000044072,ENSMUSP00000044838,ENSMUSP00000045770,ENSMUSP00000046900,ENSMUSP00000047022,ENSMUSP00000048092,ENSMUSP00000048350,ENSMUSP00000048519,ENSMUSP00000048836,ENSMUSP00000050313,ENSMUSP00000050336,ENSMUSP00000051033,ENSMUSP00000051079,ENSMUSP00000051215,ENSMUSP00000052283,ENSMUSP00000052777,ENSMUSP00000053822,ENSMUSP00000055803,ENSMUSP00000056276,ENSMUSP00000056669,ENSMUSP00000057844,ENSMUSP00000057849,ENSMUSP00000059129,ENSMUSP00000060124,ENSMUSP00000063677,ENSMUSP00000067066,ENSMUSP00000070925,ENSMUSP00000071486,ENSMUSP00000072334,ENSMUSP00000072401,ENSMUSP00000074708,ENSMUSP00000075423,ENSMUSP00000075429,ENSMUSP00000076933,ENSMUSP00000077074,ENSMUSP00000077873,ENSMUSP00000078705,ENSMUSP00000078875,ENSMUSP00000082822,ENSMUSP00000083589,ENSMUSP00000085192,ENSMUSP00000087947,ENSMUSP00000090121,ENSMUSP00000091685,ENSMUSP00000094082,ENSMUSP00000094083,ENSMUSP00000094084,ENSMUSP00000095832,ENSMUSP00000097404,ENSMUSP00000097795,ENSMUSP00000097909,ENSMUSP00000098066,ENSMUSP00000098303,ENSMUSP00000099382,ENSMUSP00000099565,ENSMUSP00000099958,ENSMUSP00000100862,ENSMUSP00000101105,ENSMUSP00000101121,ENSMUSP00000101684,ENSMUSP00000101862,ENSMUSP00000102171,ENSMUSP00000102192,ENSMUSP00000103015,ENSMUSP00000104294,ENSMUSP00000105129,ENSMUSP00000105922,ENSMUSP00000107060,ENSMUSP00000107707,ENSMUSP00000107793,ENSMUSP00000107830,ENSMUSP00000107913,ENSMUSP00000110126,ENSMUSP00000110314,ENSMUSP00000112782,ENSMUSP00000113499,ENSMUSP00000113820,ENSMUSP00000113852,ENSMUSP00000114839,ENSMUSP00000116028,ENSMUSP00000120531,ENSMUSP00000121203,ENSMUSP00000121848,ENSMUSP00000123990,ENSMUSP00000125121,ENSMUSP00000127941,ENSMUSP00000128278,ENSMUSP00000135299,ENSMUSP00000137503,ENSMUSP00000140404	AF251705,Actb,Actg1,Actr2,Actr3,Adam8,Aldh3b1,Anpep,Anxa2,Ap1s2,Aprt,Arl8a,Arpc1b,Arpc2,Arpc4,Arpc5,Asah1,Atp6ap2,Atp6v0a1,Atp6v0c,Atp6v0d2,Atp6v1a,Atp6v1b2,Atp6v1c1,Blnk,C1qa,C1qb,C1qc,C3ar1,Cap1,Capzb,Casp4,Cd14,Cd180,Cd200r1,Cd200r4,Cd300a,Cd300ld,Cd300lf,Cd53,Cd63,Cd68,Cd80,Cfi,Ckap4,Clec4d,Clec5a,Clec7a,Clu,Cnn2,Col1a1,Col1a2,Col3a1,Cotl1,Creg1,Crlf1,Csf1r,Csf2ra,Csf2rb,Csf2rb2,Cstb,Ctsa,Ctsb,Ctsc,Ctsd,Ctsh,Ctsk,Ctsl,Ctss,Ctsz,Cxcl1,Cyba,Cybb,Degs1,Dnase1l1,Dpp7,Dtx4,Elmo1,Fabp5,Fcer1g,Fcgr1,Fcgr4,Fgr,Fuca1,Fuca2,Fyb,Galns,Glb1,Glipr1,Gm2a,Gns,Gp49a,Gpr97,Gusb,Hck,Hexb,Hk3,Hpse,Hvcn1,Ifngr2,Igf2r,Il10ra,Il12rb2,Il13ra1,Il18bp,Il1a,Il1rn,Il7r,Inpp5d,Iqgap1,Itgav,Itgax,Kif3a,Lair1,Lamp2,Lat2,Lgmn,Lif,Lilrb4,Ly86,Man2b1,Mefv,Mkrn1,Mrc2,Myo5a,Ncf1,Ncf2,Ncf4,Nckap1l,Nfam1,Olr1,Osm,P2rx7,P4hb,Pianp,Pik3ap1,Pik3r3,Pilra,Pkp1,Plau,Plaur,Pld3,Plekho2,Prcp,Prkcd,Psap,Ptafr,Ptpn1,Qsox1,Rap2b,Rhog,Rps6ka2,S100a11,Sdc1,Sdcbp,Serpinb6a,Serpinb6b,Sh2d1b2,Slc11a1,Socs3,Spsb2,Spsb4,Src,Syk,Tcirg1,Tlr4,Tlr8,Tnfaip3,Tnfrsf11a,Tnfrsf11b,Tnfrsf1b,Trem2,Tuba1c,Tubb6,Tyrobp,Vat1,Vav1,Vav3,Vcam1,Wsb1
MMU-168249	Innate Immune System	132	879	3.57e-35	ENSMUSP00000000137,ENSMUSP00000000608,ENSMUSP00000002284,ENSMUSP00000003370,ENSMUSP00000004784,ENSMUSP00000005185,ENSMUSP00000005889,ENSMUSP00000006235,ENSMUSP00000006435,ENSMUSP00000006467,ENSMUSP00000006764,ENSMUSP00000015171,ENSMUSP00000015484,ENSMUSP00000015664,ENSMUSP00000015667,ENSMUSP00000016094,ENSMUSP00000016400,ENSMUSP00000017188,ENSMUSP00000017604,ENSMUSP00000019232,ENSMUSP00000019997,ENSMUSP00000021607,ENSMUSP00000021860,ENSMUSP00000021933,ENSMUSP00000022124,ENSMUSP00000022169,ENSMUSP00000022368,ENSMUSP00000022616,ENSMUSP00000022904,ENSMUSP00000024575,ENSMUSP00000024599,ENSMUSP00000024791,ENSMUSP00000024932,ENSMUSP00000026613,ENSMUSP00000027012,ENSMUSP00000027368,ENSMUSP00000027667,ENSMUSP00000027684,ENSMUSP00000028332,ENSMUSP00000028499,ENSMUSP00000029046,ENSMUSP00000029175,ENSMUSP00000029515,ENSMUSP00000029748,ENSMUSP00000029900,ENSMUSP00000029912,ENSMUSP00000030336,ENSMUSP00000030434,ENSMUSP00000030693,ENSMUSP00000031327,ENSMUSP00000032240,ENSMUSP00000032265,ENSMUSP00000032779,ENSMUSP00000032800,ENSMUSP00000033053,ENSMUSP00000033313,ENSMUSP00000034000,ENSMUSP00000034121,ENSMUSP00000034285,ENSMUSP00000034756,ENSMUSP00000034915,ENSMUSP00000035400,ENSMUSP00000035658,ENSMUSP00000035781,ENSMUSP00000036270,ENSMUSP00000036747,ENSMUSP00000038841,ENSMUSP00000040229,ENSMUSP00000040246,ENSMUSP00000043167,ENSMUSP00000044072,ENSMUSP00000044838,ENSMUSP00000045770,ENSMUSP00000046900,ENSMUSP00000048092,ENSMUSP00000048350,ENSMUSP00000048519,ENSMUSP00000048836,ENSMUSP00000050336,ENSMUSP00000051079,ENSMUSP00000051215,ENSMUSP00000052283,ENSMUSP00000055803,ENSMUSP00000056276,ENSMUSP00000056669,ENSMUSP00000063677,ENSMUSP00000070925,ENSMUSP00000071486,ENSMUSP00000072334,ENSMUSP00000072401,ENSMUSP00000075429,ENSMUSP00000076933,ENSMUSP00000077074,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000082822,ENSMUSP00000083589,ENSMUSP00000090121,ENSMUSP00000094084,ENSMUSP00000095832,ENSMUSP00000097795,ENSMUSP00000098066,ENSMUSP00000098303,ENSMUSP00000099382,ENSMUSP00000099958,ENSMUSP00000100862,ENSMUSP00000101105,ENSMUSP00000101121,ENSMUSP00000101684,ENSMUSP00000101862,ENSMUSP00000102192,ENSMUSP00000103015,ENSMUSP00000104294,ENSMUSP00000105129,ENSMUSP00000105922,ENSMUSP00000107060,ENSMUSP00000107707,ENSMUSP00000107793,ENSMUSP00000107830,ENSMUSP00000110314,ENSMUSP00000113499,ENSMUSP00000113820,ENSMUSP00000113852,ENSMUSP00000114839,ENSMUSP00000116028,ENSMUSP00000120531,ENSMUSP00000121203,ENSMUSP00000121848,ENSMUSP00000123990,ENSMUSP00000128278,ENSMUSP00000137503,ENSMUSP00000140404	AF251705,Actb,Actg1,Actr2,Actr3,Adam8,Aldh3b1,Anpep,Anxa2,Aprt,Arl8a,Arpc1b,Arpc2,Arpc4,Arpc5,Asah1,Atp6ap2,Atp6v0a1,Atp6v0c,Atp6v0d2,Atp6v1a,Atp6v1b2,Atp6v1c1,C1qa,C1qb,C1qc,C3ar1,Cap1,Casp4,Cd14,Cd180,Cd300a,Cd53,Cd63,Cd68,Cfi,Ckap4,Clec4d,Clec5a,Clec7a,Clu,Cnn2,Cotl1,Creg1,Cstb,Ctsa,Ctsb,Ctsc,Ctsd,Ctsh,Ctsk,Ctsl,Ctss,Ctsz,Cxcl1,Cyba,Cybb,Degs1,Dnase1l1,Dpp7,Dtx4,Elmo1,Fabp5,Fcer1g,Fcgr1,Fcgr4,Fgr,Fuca1,Fuca2,Galns,Glb1,Glipr1,Gm2a,Gns,Gp49a,Gpr97,Gusb,Hck,Hexb,Hk3,Hpse,Hvcn1,Igf2r,Iqgap1,Itgav,Itgax,Lair1,Lamp2,Lat2,Lgmn,Lilrb4,Ly86,Man2b1,Mefv,Myo5a,Ncf1,Ncf2,Ncf4,Nckap1l,Nfam1,Olr1,P2rx7,Pkp1,Plau,Plaur,Pld3,Plekho2,Prcp,Prkcd,Psap,Ptafr,Qsox1,Rap2b,Rhog,Rps6ka2,S100a11,Sdcbp,Serpinb6a,Serpinb6b,Slc11a1,Src,Syk,Tcirg1,Tlr4,Tlr8,Tnfaip3,Tnfrsf1b,Trem2,Tyrobp,Vat1,Vav1,Vav3
MMU-6798695	Neutrophil degranulation	89	476	4.08e-29	ENSMUSP00000000137,ENSMUSP00000000608,ENSMUSP00000002284,ENSMUSP00000004784,ENSMUSP00000005185,ENSMUSP00000006235,ENSMUSP00000006764,ENSMUSP00000015171,ENSMUSP00000015484,ENSMUSP00000015667,ENSMUSP00000016400,ENSMUSP00000017188,ENSMUSP00000017604,ENSMUSP00000019232,ENSMUSP00000022169,ENSMUSP00000022368,ENSMUSP00000024599,ENSMUSP00000024932,ENSMUSP00000026613,ENSMUSP00000027368,ENSMUSP00000027667,ENSMUSP00000027684,ENSMUSP00000028332,ENSMUSP00000028499,ENSMUSP00000029046,ENSMUSP00000029515,ENSMUSP00000029912,ENSMUSP00000030336,ENSMUSP00000030434,ENSMUSP00000030693,ENSMUSP00000031327,ENSMUSP00000032240,ENSMUSP00000032265,ENSMUSP00000032779,ENSMUSP00000032800,ENSMUSP00000033053,ENSMUSP00000033313,ENSMUSP00000034000,ENSMUSP00000034121,ENSMUSP00000034285,ENSMUSP00000034756,ENSMUSP00000034915,ENSMUSP00000035400,ENSMUSP00000035658,ENSMUSP00000035781,ENSMUSP00000038841,ENSMUSP00000043167,ENSMUSP00000044072,ENSMUSP00000044838,ENSMUSP00000048092,ENSMUSP00000048350,ENSMUSP00000048519,ENSMUSP00000050336,ENSMUSP00000051079,ENSMUSP00000051215,ENSMUSP00000052283,ENSMUSP00000055803,ENSMUSP00000056276,ENSMUSP00000056669,ENSMUSP00000063677,ENSMUSP00000070925,ENSMUSP00000072401,ENSMUSP00000075429,ENSMUSP00000076933,ENSMUSP00000077873,ENSMUSP00000078875,ENSMUSP00000083589,ENSMUSP00000090121,ENSMUSP00000095832,ENSMUSP00000099382,ENSMUSP00000099958,ENSMUSP00000100862,ENSMUSP00000101105,ENSMUSP00000101121,ENSMUSP00000101684,ENSMUSP00000101862,ENSMUSP00000102192,ENSMUSP00000103015,ENSMUSP00000104294,ENSMUSP00000105129,ENSMUSP00000105922,ENSMUSP00000107060,ENSMUSP00000107830,ENSMUSP00000113499,ENSMUSP00000120531,ENSMUSP00000121203,ENSMUSP00000121848,ENSMUSP00000123990,ENSMUSP00000128278	AF251705,Actr2,Adam8,Aldh3b1,Anpep,Anxa2,Aprt,Arl8a,Arpc5,Asah1,Atp6ap2,Atp6v0a1,Atp6v0c,C3ar1,Cap1,Cd14,Cd300a,Cd53,Cd63,Cd68,Ckap4,Clec4d,Clec5a,Cnn2,Cotl1,Creg1,Cstb,Ctsa,Ctsb,Ctsc,Ctsd,Ctsh,Ctss,Ctsz,Cxcl1,Cyba,Cybb,Degs1,Dnase1l1,Dpp7,Fabp5,Fcer1g,Fcgr4,Fgr,Fuca1,Fuca2,Galns,Glb1,Glipr1,Gm2a,Gns,Gp49a,Gpr97,Gusb,Hexb,Hk3,Hpse,Hvcn1,Igf2r,Iqgap1,Itgav,Itgax,Lair1,Lamp2,Lilrb4,Man2b1,Nckap1l,Nfam1,Olr1,Pkp1,Plau,Plaur,Plekho2,Prcp,Prkcd,Psap,Ptafr,Qsox1,Rap2b,Rhog,S100a11,Sdcbp,Serpinb6a,Serpinb6b,Slc11a1,Tcirg1,Tnfrsf1b,Tyrobp,Vat1
MMU-1474244	Extracellular matrix organization	57	246	3.98e-22	ENSMUSP00000000707,ENSMUSP00000001147,ENSMUSP00000001547,ENSMUSP00000002678,ENSMUSP00000005950,ENSMUSP00000006235,ENSMUSP00000006367,ENSMUSP00000009530,ENSMUSP00000015138,ENSMUSP00000015394,ENSMUSP00000015664,ENSMUSP00000015667,ENSMUSP00000018737,ENSMUSP00000020911,ENSMUSP00000021603,ENSMUSP00000021933,ENSMUSP00000022660,ENSMUSP00000022693,ENSMUSP00000022871,ENSMUSP00000023128,ENSMUSP00000026122,ENSMUSP00000026411,ENSMUSP00000028280,ENSMUSP00000028499,ENSMUSP00000029574,ENSMUSP00000029848,ENSMUSP00000031246,ENSMUSP00000031668,ENSMUSP00000032835,ENSMUSP00000033053,ENSMUSP00000033741,ENSMUSP00000034187,ENSMUSP00000034947,ENSMUSP00000035802,ENSMUSP00000039452,ENSMUSP00000040877,ENSMUSP00000043849,ENSMUSP00000047923,ENSMUSP00000048334,ENSMUSP00000054499,ENSMUSP00000057131,ENSMUSP00000065877,ENSMUSP00000071662,ENSMUSP00000083620,ENSMUSP00000085192,ENSMUSP00000086745,ENSMUSP00000087119,ENSMUSP00000099723,ENSMUSP00000099826,ENSMUSP00000099981,ENSMUSP00000101150,ENSMUSP00000101684,ENSMUSP00000102995,ENSMUSP00000108367,ENSMUSP00000121203,ENSMUSP00000125069,ENSMUSP00000129247	Acan,Adam8,Bgn,Bmp1,Col10a1,Col12a1,Col15a1,Col16a1,Col1a1,Col1a2,Col22a1,Col23a1,Col24a1,Col3a1,Col5a1,Col5a2,Col6a1,Col6a3,Col8a1,Colgalt1,Ctsb,Ctsd,Ctsk,Ctsl,Ctss,Eln,Fbln2,Fbln5,Fn1,Htra1,Ibsp,Itga5,Itgav,Itgax,Lepre1,Lox,Loxl2,Loxl3,Lum,Mmp12,Mmp13,Mmp14,Mmp19,Mmp2,P4hb,Ppib,Sdc1,Sdc2,Sdc3,Sparc,Spp1,Tgfb1,Tgfb2,Timp1,Tnc,Tnn,Vcam1
MMU-109582	Hemostasis	75	489	7.77e-20	ENSMUSP00000000984,ENSMUSP00000001513,ENSMUSP00000001547,ENSMUSP00000002284,ENSMUSP00000002678,ENSMUSP00000004829,ENSMUSP00000005234,ENSMUSP00000005889,ENSMUSP00000006697,ENSMUSP00000006703,ENSMUSP00000009530,ENSMUSP00000014505,ENSMUSP00000017188,ENSMUSP00000018737,ENSMUSP00000020107,ENSMUSP00000020911,ENSMUSP00000021283,ENSMUSP00000022368,ENSMUSP00000022616,ENSMUSP00000022871,ENSMUSP00000023128,ENSMUSP00000023132,ENSMUSP00000026302,ENSMUSP00000028499,ENSMUSP00000029053,ENSMUSP00000029175,ENSMUSP00000030317,ENSMUSP00000030464,ENSMUSP00000030683,ENSMUSP00000030693,ENSMUSP00000031668,ENSMUSP00000032265,ENSMUSP00000032492,ENSMUSP00000033053,ENSMUSP00000033820,ENSMUSP00000034756,ENSMUSP00000035658,ENSMUSP00000036270,ENSMUSP00000037858,ENSMUSP00000043088,ENSMUSP00000043849,ENSMUSP00000047586,ENSMUSP00000051033,ENSMUSP00000052283,ENSMUSP00000053558,ENSMUSP00000054499,ENSMUSP00000061754,ENSMUSP00000062239,ENSMUSP00000064241,ENSMUSP00000065877,ENSMUSP00000070868,ENSMUSP00000075429,ENSMUSP00000078875,ENSMUSP00000083204,ENSMUSP00000091330,ENSMUSP00000095832,ENSMUSP00000097519,ENSMUSP00000098303,ENSMUSP00000099565,ENSMUSP00000099945,ENSMUSP00000100862,ENSMUSP00000101105,ENSMUSP00000104208,ENSMUSP00000105922,ENSMUSP00000106861,ENSMUSP00000107795,ENSMUSP00000107830,ENSMUSP00000112665,ENSMUSP00000112782,ENSMUSP00000113852,ENSMUSP00000114094,ENSMUSP00000123924,ENSMUSP00000124462,ENSMUSP00000127709,ENSMUSP00000127941	Abhd12,Anxa2,Arrb2,Atp2b1,Capzb,Cd109,Cd244,Cd48,Cd63,Cd9,Clu,Col1a1,Col1a2,Daglb,Ecm1,F2r,F5,F7,Fam3c,Fcer1g,Fermt3,Fgr,Fn1,Gngt2,Hgf,Inpp5d,Itga5,Itgav,Itgax,Itih3,Itih4,Kif26b,Kif3a,Lamp2,Lhfpl2,Maged2,Mertk,Mical1,Olr1,P2rx7,Pde1b,Pdpn,Pik3r3,Pik3r5,Pla2g4a,Plau,Plaur,Plek,Prcp,Prkcd,Psap,Ptpn1,Qsox1,Rab27b,Rhog,Sdc1,Sdc2,Sdc3,Selp,Serpinb6a,Serpinb6b,Slc7a7,Sparc,Src,Syk,Tagln2,Tgfb1,Tgfb2,Timp1,Tmsb4x,Tuba1c,Tubb6,Vav1,Vav3,Wdr1
MMU-76002	Platelet activation, signaling and aggregation	46	242	6.76e-15	ENSMUSP00000001547,ENSMUSP00000002678,ENSMUSP00000005234,ENSMUSP00000005889,ENSMUSP00000006697,ENSMUSP00000006703,ENSMUSP00000009530,ENSMUSP00000018737,ENSMUSP00000021283,ENSMUSP00000022616,ENSMUSP00000026302,ENSMUSP00000029053,ENSMUSP00000029175,ENSMUSP00000030317,ENSMUSP00000030464,ENSMUSP00000030683,ENSMUSP00000031668,ENSMUSP00000032492,ENSMUSP00000035658,ENSMUSP00000036270,ENSMUSP00000037858,ENSMUSP00000043088,ENSMUSP00000043849,ENSMUSP00000047586,ENSMUSP00000052283,ENSMUSP00000053558,ENSMUSP00000054499,ENSMUSP00000061754,ENSMUSP00000062239,ENSMUSP00000070868,ENSMUSP00000078875,ENSMUSP00000083204,ENSMUSP00000091330,ENSMUSP00000095832,ENSMUSP00000099945,ENSMUSP00000100862,ENSMUSP00000101105,ENSMUSP00000104208,ENSMUSP00000106861,ENSMUSP00000107795,ENSMUSP00000107830,ENSMUSP00000112665,ENSMUSP00000113852,ENSMUSP00000114094,ENSMUSP00000123924,ENSMUSP00000127709	Abhd12,Arrb2,Cd109,Cd63,Cd9,Clu,Col1a1,Col1a2,Daglb,Ecm1,F2r,F5,Fam3c,Fcer1g,Fermt3,Fn1,Gngt2,Hgf,Itih3,Itih4,Lamp2,Lhfpl2,Maged2,Pdpn,Pik3r3,Pik3r5,Pla2g4a,Plek,Prkcd,Psap,Ptpn1,Qsox1,Rab27b,Rhog,Selp,Sparc,Src,Syk,Tagln2,Tgfb1,Tgfb2,Timp1,Tmsb4x,Vav1,Vav3,Wdr1
MMU-1630316	Glycosaminoglycan metabolism	30	114	1.19e-12	ENSMUSP00000001802,ENSMUSP00000005173,ENSMUSP00000015171,ENSMUSP00000020911,ENSMUSP00000022169,ENSMUSP00000022871,ENSMUSP00000026262,ENSMUSP00000026613,ENSMUSP00000032835,ENSMUSP00000033741,ENSMUSP00000040074,ENSMUSP00000040775,ENSMUSP00000040877,ENSMUSP00000043167,ENSMUSP00000044072,ENSMUSP00000045349,ENSMUSP00000047487,ENSMUSP00000055803,ENSMUSP00000060247,ENSMUSP00000063277,ENSMUSP00000065877,ENSMUSP00000066515,ENSMUSP00000076505,ENSMUSP00000079546,ENSMUSP00000085497,ENSMUSP00000085499,ENSMUSP00000104844,ENSMUSP00000108931,ENSMUSP00000112052,ENSMUSP00000112804	Acan,B3gnt2,B3gnt7,B4galt5,B4galt6,Bgn,Cemip,Chpf2,Chst11,Chst2,Chsy1,Chsy3,Dse,Ext1,Galns,Glb1,Gns,Gusb,Hexa,Hexb,Hpse,Hs6st1,Hs6st2,Lum,Naglu,Sdc1,Sdc2,Sdc3,Sgsh,Xylt2
MMU-1474290	Collagen formation	27	89	1.25e-12	ENSMUSP00000000707,ENSMUSP00000001147,ENSMUSP00000001547,ENSMUSP00000006235,ENSMUSP00000015394,ENSMUSP00000015667,ENSMUSP00000021933,ENSMUSP00000022660,ENSMUSP00000022693,ENSMUSP00000026122,ENSMUSP00000028280,ENSMUSP00000029848,ENSMUSP00000031668,ENSMUSP00000034947,ENSMUSP00000035802,ENSMUSP00000047923,ENSMUSP00000057131,ENSMUSP00000071662,ENSMUSP00000083620,ENSMUSP00000085192,ENSMUSP00000086745,ENSMUSP00000099723,ENSMUSP00000099826,ENSMUSP00000099981,ENSMUSP00000101150,ENSMUSP00000125069,ENSMUSP00000129247	Bmp1,Col10a1,Col12a1,Col15a1,Col16a1,Col1a1,Col1a2,Col22a1,Col23a1,Col24a1,Col3a1,Col5a1,Col5a2,Col6a1,Col6a3,Col8a1,Colgalt1,Ctsb,Ctsl,Ctss,Lepre1,Lox,Loxl2,Loxl3,Mmp13,P4hb,Ppib
MMU-1474228	Degradation of the extracellular matrix	29	118	1.14e-11	ENSMUSP00000001147,ENSMUSP00000001547,ENSMUSP00000005950,ENSMUSP00000006235,ENSMUSP00000006367,ENSMUSP00000009530,ENSMUSP00000015138,ENSMUSP00000015394,ENSMUSP00000015664,ENSMUSP00000015667,ENSMUSP00000021933,ENSMUSP00000022693,ENSMUSP00000026411,ENSMUSP00000028280,ENSMUSP00000031668,ENSMUSP00000032835,ENSMUSP00000034187,ENSMUSP00000054499,ENSMUSP00000057131,ENSMUSP00000071662,ENSMUSP00000083620,ENSMUSP00000085192,ENSMUSP00000086745,ENSMUSP00000087119,ENSMUSP00000099981,ENSMUSP00000101150,ENSMUSP00000101684,ENSMUSP00000108367,ENSMUSP00000121203	Acan,Adam8,Bmp1,Col10a1,Col12a1,Col15a1,Col1a1,Col1a2,Col3a1,Col5a1,Col5a2,Col6a1,Col6a3,Col8a1,Ctsb,Ctsd,Ctsk,Ctsl,Ctss,Eln,Fn1,Htra1,Mmp12,Mmp13,Mmp14,Mmp19,Mmp2,Spp1,Timp1
MMU-71387	Metabolism of carbohydrates	39	241	9.06e-11	ENSMUSP00000001802,ENSMUSP00000005173,ENSMUSP00000015171,ENSMUSP00000015256,ENSMUSP00000020911,ENSMUSP00000022169,ENSMUSP00000022871,ENSMUSP00000026262,ENSMUSP00000026613,ENSMUSP00000030398,ENSMUSP00000030455,ENSMUSP00000031002,ENSMUSP00000032835,ENSMUSP00000033741,ENSMUSP00000034121,ENSMUSP00000040074,ENSMUSP00000040775,ENSMUSP00000040877,ENSMUSP00000043167,ENSMUSP00000044072,ENSMUSP00000045349,ENSMUSP00000047487,ENSMUSP00000051215,ENSMUSP00000055803,ENSMUSP00000057197,ENSMUSP00000060247,ENSMUSP00000063277,ENSMUSP00000065877,ENSMUSP00000066515,ENSMUSP00000069081,ENSMUSP00000076505,ENSMUSP00000079546,ENSMUSP00000085497,ENSMUSP00000085499,ENSMUSP00000104844,ENSMUSP00000108931,ENSMUSP00000112052,ENSMUSP00000112804,ENSMUSP00000124569	Acan,Akr1a1,B3gnt2,B3gnt7,B4galt5,B4galt6,Bgn,Cemip,Chpf2,Chst11,Chst2,Chsy1,Chsy3,Dse,Ext1,Galns,Glb1,Gnpda1,Gns,Gusb,Hexa,Hexb,Hk3,Hpse,Hs6st1,Hs6st2,Lum,Man2b1,Man2b2,Naglu,Pfkfb4,Sdc1,Sdc2,Sdc3,Sgsh,Slc25a13,Slc2a1,Slc37a2,Xylt2
