#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
MMU-163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	22	78	8.63e-25	ENSMUSP00000014438,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000023085,ENSMUSP00000023851,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000034146,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000136313	Atp5e,Atp5h,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ucp1
MMU-6799198	Complex I biogenesis	19	52	2.67e-23	ENSMUSP00000014438,ENSMUSP00000016571,ENSMUSP00000023085,ENSMUSP00000023851,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000136313	Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7
MMU-1430728	Metabolism	40	1685	3.41e-10	ENSMUSP00000000260,ENSMUSP00000005824,ENSMUSP00000014438,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000016672,ENSMUSP00000021114,ENSMUSP00000021522,ENSMUSP00000022120,ENSMUSP00000023040,ENSMUSP00000023085,ENSMUSP00000023243,ENSMUSP00000023851,ENSMUSP00000026129,ENSMUSP00000029925,ENSMUSP00000030385,ENSMUSP00000030401,ENSMUSP00000031670,ENSMUSP00000032882,ENSMUSP00000034146,ENSMUSP00000034588,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000047778,ENSMUSP00000047855,ENSMUSP00000065352,ENSMUSP00000070709,ENSMUSP00000074872,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000095970,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000133302,ENSMUSP00000136313	Acot12,Apoa1,Apoa2,Apoe,Atp5e,Atp5h,Fabp3,Galk1,Glrx5,Gmpr,Gng11,Gpihbp1,Mapkapk2,Mcee,Mlycd,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Nudt19,Pcyt2,Ppcs,Slc25a17,Stard5,Ucp1
MMU-5389840	Mitochondrial translation elongation	9	79	4.82e-07	ENSMUSP00000024486,ENSMUSP00000030365,ENSMUSP00000032485,ENSMUSP00000032841,ENSMUSP00000044417,ENSMUSP00000044497,ENSMUSP00000053033,ENSMUSP00000062066,ENSMUSP00000115512	Mrpl12,Mrpl15,Mrpl34,Mrpl37,Mrpl46,Mrpl51,Mrps12,Mrps23,Mrps7
MMU-5419276	Mitochondrial translation termination	9	81	5.05e-07	ENSMUSP00000024486,ENSMUSP00000030365,ENSMUSP00000032485,ENSMUSP00000032841,ENSMUSP00000044417,ENSMUSP00000044497,ENSMUSP00000053033,ENSMUSP00000062066,ENSMUSP00000115512	Mrpl12,Mrpl15,Mrpl34,Mrpl37,Mrpl46,Mrpl51,Mrps12,Mrps23,Mrps7
MMU-8963901	Chylomicron remodeling	4	9	4.63e-05	ENSMUSP00000005824,ENSMUSP00000023243,ENSMUSP00000034588,ENSMUSP00000133302	Apoa1,Apoa2,Apoe,Gpihbp1
MMU-8963898	Plasma lipoprotein assembly	4	17	0.00030	ENSMUSP00000005824,ENSMUSP00000034588,ENSMUSP00000104091,ENSMUSP00000133302	Apoa1,Apoa2,Apoc1,Apoe
MMU-8963888	Chylomicron assembly	3	9	0.0015	ENSMUSP00000005824,ENSMUSP00000034588,ENSMUSP00000133302	Apoa1,Apoa2,Apoe
MMU-174824	Plasma lipoprotein assembly, remodeling, and clearance	5	60	0.0017	ENSMUSP00000005824,ENSMUSP00000023243,ENSMUSP00000034588,ENSMUSP00000104091,ENSMUSP00000133302	Apoa1,Apoa2,Apoc1,Apoe,Gpihbp1
MMU-975634	Retinoid metabolism and transport	4	48	0.0085	ENSMUSP00000005824,ENSMUSP00000023243,ENSMUSP00000034588,ENSMUSP00000133302	Apoa1,Apoa2,Apoe,Gpihbp1
MMU-2173782	Binding and Uptake of Ligands by Scavenger Receptors	3	31	0.0271	ENSMUSP00000033185,ENSMUSP00000034588,ENSMUSP00000133302	Apoa1,Apoe,Hpx
MMU-390918	Peroxisomal lipid metabolism	3	31	0.0271	ENSMUSP00000023040,ENSMUSP00000047778,ENSMUSP00000095970	Mlycd,Nudt19,Slc25a17
MMU-392499	Metabolism of proteins	21	1497	0.0271	ENSMUSP00000002881,ENSMUSP00000005824,ENSMUSP00000023243,ENSMUSP00000024486,ENSMUSP00000026539,ENSMUSP00000030365,ENSMUSP00000031670,ENSMUSP00000032233,ENSMUSP00000032485,ENSMUSP00000032841,ENSMUSP00000034588,ENSMUSP00000044417,ENSMUSP00000044497,ENSMUSP00000048041,ENSMUSP00000053033,ENSMUSP00000062066,ENSMUSP00000063660,ENSMUSP00000115512,ENSMUSP00000118105,ENSMUSP00000120816,ENSMUSP00000133302	Ankrd9,Apoa1,Apoa2,Apoe,Cd59a,Ffar4,Fuom,Gng11,Gpihbp1,Mrpl12,Mrpl15,Mrpl34,Mrpl37,Mrpl46,Mrpl51,Mrps12,Mrps23,Mrps7,Nudt14,Taf10,Tuba8
MMU-8964043	Plasma lipoprotein clearance	3	32	0.0271	ENSMUSP00000034588,ENSMUSP00000104091,ENSMUSP00000133302	Apoa1,Apoc1,Apoe
MMU-8964058	HDL remodeling	2	8	0.0272	ENSMUSP00000034588,ENSMUSP00000133302	Apoa1,Apoe
MMU-3000480	Scavenging by Class A Receptors	2	9	0.0315	ENSMUSP00000034588,ENSMUSP00000133302	Apoa1,Apoe
MMU-8978868	Fatty acid metabolism	6	196	0.0347	ENSMUSP00000016672,ENSMUSP00000022120,ENSMUSP00000023040,ENSMUSP00000047778,ENSMUSP00000047855,ENSMUSP00000095970	Acot12,Mapkapk2,Mcee,Mlycd,Nudt19,Slc25a17
