#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0006412	translation	6	313	0.0206	ENSMUSP00000030942,ENSMUSP00000042134,ENSMUSP00000043355,ENSMUSP00000044417,ENSMUSP00000046453,ENSMUSP00000115512	Cars2,Mrpl12,Mrpl15,Mrpl20,Rmnd1,Tsfm
GO:0006518	peptide metabolic process	6	440	0.0206	ENSMUSP00000030942,ENSMUSP00000042134,ENSMUSP00000043355,ENSMUSP00000044417,ENSMUSP00000046453,ENSMUSP00000115512	Cars2,Mrpl12,Mrpl15,Mrpl20,Rmnd1,Tsfm
GO:0006626	protein targeting to mitochondrion	3	55	0.0206	ENSMUSP00000041380,ENSMUSP00000050156,ENSMUSP00000103438	Chchd4,Timm8a1,Tomm5
GO:0034382	chylomicron remnant clearance	2	5	0.0206	ENSMUSP00000104091,ENSMUSP00000133302	Apoc1,Apoe
GO:0034447	very-low-density lipoprotein particle clearance	2	3	0.0206	ENSMUSP00000104091,ENSMUSP00000133302	Apoc1,Apoe
GO:0033700	phospholipid efflux	2	11	0.0273	ENSMUSP00000104091,ENSMUSP00000133302	Apoc1,Apoe
GO:0006839	mitochondrial transport	4	181	0.0283	ENSMUSP00000023040,ENSMUSP00000041380,ENSMUSP00000050156,ENSMUSP00000103438	Chchd4,Slc25a17,Timm8a1,Tomm5
GO:0015748	organophosphate ester transport	3	86	0.0437	ENSMUSP00000023040,ENSMUSP00000104091,ENSMUSP00000133302	Apoc1,Apoe,Slc25a17
GO:0007005	mitochondrion organization	5	388	0.0474	ENSMUSP00000029925,ENSMUSP00000041380,ENSMUSP00000050156,ENSMUSP00000103438,ENSMUSP00000115512	Chchd4,Mrpl15,Ndufaf4,Timm8a1,Tomm5
GO:0034369	plasma lipoprotein particle remodeling	2	20	0.0474	ENSMUSP00000104091,ENSMUSP00000133302	Apoc1,Apoe
GO:0051043	regulation of membrane protein ectodomain proteolysis	2	22	0.0474	ENSMUSP00000032462,ENSMUSP00000133302	Apoe,Timp4
GO:1901564	organonitrogen compound metabolic process	17	4480	0.0474	ENSMUSP00000000260,ENSMUSP00000002805,ENSMUSP00000016672,ENSMUSP00000030942,ENSMUSP00000033717,ENSMUSP00000041380,ENSMUSP00000042134,ENSMUSP00000043355,ENSMUSP00000044417,ENSMUSP00000046453,ENSMUSP00000077744,ENSMUSP00000104091,ENSMUSP00000108649,ENSMUSP00000115512,ENSMUSP00000125880,ENSMUSP00000126173,ENSMUSP00000133302	Apoc1,Apoe,Cars2,Chchd4,Gmpr,Hccs,Mapkapk2,Mpp6,Mrpl12,Mrpl15,Mrpl20,Naa20,Rmnd1,Rnf128,Tsfm,Ube2f,Uqcrh
GO:0070129	regulation of mitochondrial translation	2	24	0.0477	ENSMUSP00000042134,ENSMUSP00000043355	Rmnd1,Tsfm
GO:0033344	cholesterol efflux	2	25	0.0492	ENSMUSP00000104091,ENSMUSP00000133302	Apoc1,Apoe
