#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu05012	Parkinson's disease	26	138	6.67e-18	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000020372,ENSMUSP00000022419,ENSMUSP00000023085,ENSMUSP00000026561,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	Atp5e,Atp5h,Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Uqcr11
mmu00190	Oxidative phosphorylation	25	129	9.90e-18	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000020372,ENSMUSP00000020851,ENSMUSP00000023085,ENSMUSP00000026561,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000136313	Atp5e,Atp5h,Cox11,Cox6c,Cox7a1,Cox7c,Cox8b,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Uqcr11
mmu05010	Alzheimer's disease	27	167	1.37e-17	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000020372,ENSMUSP00000023085,ENSMUSP00000026561,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000043918,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000133302,ENSMUSP00000136313	Apoe,Atp5e,Atp5h,Bace2,Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Uqcr11
mmu05016	Huntington's disease	27	187	1.36e-16	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000020372,ENSMUSP00000022419,ENSMUSP00000023085,ENSMUSP00000026561,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000034146,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	Atp5e,Atp5h,Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Ucp1,Uqcr11
mmu04932	Non-alcoholic fatty liver disease (NAFLD)	24	146	6.21e-16	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016571,ENSMUSP00000020372,ENSMUSP00000023085,ENSMUSP00000026561,ENSMUSP00000029559,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Il6ra,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Uqcr11
mmu04714	Thermogenesis	27	223	5.01e-15	ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000020372,ENSMUSP00000020851,ENSMUSP00000023085,ENSMUSP00000026561,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000034146,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000096193,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000136313	Atp5e,Atp5h,Cox11,Cox6c,Cox7a1,Cox7c,Cox8b,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ucp1,Uqcr11
mmu04723	Retrograde endocannabinoid signaling	20	145	4.45e-12	ENSMUSP00000014438,ENSMUSP00000016571,ENSMUSP00000023085,ENSMUSP00000027020,ENSMUSP00000030401,ENSMUSP00000031670,ENSMUSP00000032882,ENSMUSP00000035065,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000136313	Gng11,Gria4,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ptgs2
mmu04610	Complement and coagulation cascades	10	88	2.49e-05	ENSMUSP00000023994,ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000029140,ENSMUSP00000029771,ENSMUSP00000048041,ENSMUSP00000063707,ENSMUSP00000107607,ENSMUSP00000107873,ENSMUSP00000125531	C1ra,C1s1,C2,Cd59a,Cfb,Cfh,F3,Procr,Serping1,Vwf
mmu01100	Metabolic pathways	38	1296	0.00042	ENSMUSP00000003843,ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000020169,ENSMUSP00000020372,ENSMUSP00000020851,ENSMUSP00000021114,ENSMUSP00000022169,ENSMUSP00000023085,ENSMUSP00000023289,ENSMUSP00000026129,ENSMUSP00000026561,ENSMUSP00000030385,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000035065,ENSMUSP00000037341,ENSMUSP00000038359,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000047855,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000095970,ENSMUSP00000096753,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	Atp5e,Atp5h,Chkb,Coq7,Cox11,Cox6c,Cox7c,Cox8b,Cycs,Enpp3,Galk1,Hexb,Man1a,Mcee,Mgat5,Mlycd,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Nnt,Pcyt2,Ppcs,Ptgs2,Uqcr11
mmu05200	Pathways in cancer	18	522	0.0108	ENSMUSP00000000500,ENSMUSP00000019608,ENSMUSP00000020329,ENSMUSP00000025523,ENSMUSP00000029429,ENSMUSP00000029559,ENSMUSP00000031670,ENSMUSP00000033751,ENSMUSP00000034187,ENSMUSP00000034469,ENSMUSP00000035065,ENSMUSP00000042327,ENSMUSP00000078047,ENSMUSP00000090304,ENSMUSP00000099375,ENSMUSP00000124523,ENSMUSP00000127173,ENSMUSP00000129393	Csf1r,Cycs,Egfr,Egln1,Figf,Gng11,Hhip,Il6ra,Itga2b,Lama2,Lpar6,Mmp2,Pdgfb,Pdgfra,Ptger1,Ptgs2,Rasgrp3,Wnt2b
