#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
MMU-163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	22	78	7.77e-18	ENSMUSP00000014438,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000023085,ENSMUSP00000023851,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000034146,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000136313	Atp5e,Atp5h,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ucp1
MMU-6799198	Complex I biogenesis	19	52	2.89e-17	ENSMUSP00000014438,ENSMUSP00000016571,ENSMUSP00000023085,ENSMUSP00000023851,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000136313	Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7
MMU-1474244	Extracellular matrix organization	20	246	9.64e-08	ENSMUSP00000005532,ENSMUSP00000015498,ENSMUSP00000015664,ENSMUSP00000022660,ENSMUSP00000024849,ENSMUSP00000028633,ENSMUSP00000031731,ENSMUSP00000034187,ENSMUSP00000040171,ENSMUSP00000048183,ENSMUSP00000048334,ENSMUSP00000054583,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000085192,ENSMUSP00000090304,ENSMUSP00000099375,ENSMUSP00000100924,ENSMUSP00000105846,ENSMUSP00000125803	Adamts2,Capn5,Col12a1,Col14a1,Col3a1,Col8a2,Ctsk,Dcn,Emilin2,Fbln1,Fbln2,Fbn1,Itga2b,Lama2,Loxl2,Loxl4,Mmp2,Nid1,Pcolce,Pcolce2
MMU-1430728	Metabolism	49	1685	0.00011	ENSMUSP00000000260,ENSMUSP00000005824,ENSMUSP00000014438,ENSMUSP00000016396,ENSMUSP00000016571,ENSMUSP00000016672,ENSMUSP00000021114,ENSMUSP00000021522,ENSMUSP00000022120,ENSMUSP00000022169,ENSMUSP00000023040,ENSMUSP00000023085,ENSMUSP00000023243,ENSMUSP00000023851,ENSMUSP00000026129,ENSMUSP00000028328,ENSMUSP00000029925,ENSMUSP00000030385,ENSMUSP00000030401,ENSMUSP00000031002,ENSMUSP00000031670,ENSMUSP00000032882,ENSMUSP00000034146,ENSMUSP00000034588,ENSMUSP00000035065,ENSMUSP00000035489,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000047778,ENSMUSP00000047855,ENSMUSP00000049315,ENSMUSP00000065352,ENSMUSP00000070709,ENSMUSP00000074872,ENSMUSP00000075953,ENSMUSP00000091692,ENSMUSP00000092746,ENSMUSP00000095970,ENSMUSP00000100924,ENSMUSP00000101003,ENSMUSP00000102147,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000128674,ENSMUSP00000133302,ENSMUSP00000136313	Acot12,Apoa1,Apoa2,Apoe,Atp5e,Atp5h,Ces2g,Dcn,Entpd2,Fabp3,Fmod,Folr2,Galk1,Glrx5,Gmpr,Gng11,Gpihbp1,Hexb,Man2b2,Mapkapk2,Mcee,Mlycd,Naalad2,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Nudt19,Pcyt2,Ppcs,Ptgs2,Slc25a17,Stard5,Ucp1
MMU-5389840	Mitochondrial translation elongation	9	79	0.00024	ENSMUSP00000024486,ENSMUSP00000030365,ENSMUSP00000032485,ENSMUSP00000032841,ENSMUSP00000044417,ENSMUSP00000044497,ENSMUSP00000053033,ENSMUSP00000062066,ENSMUSP00000115512	Mrpl12,Mrpl15,Mrpl34,Mrpl37,Mrpl46,Mrpl51,Mrps12,Mrps23,Mrps7
MMU-5419276	Mitochondrial translation termination	9	81	0.00025	ENSMUSP00000024486,ENSMUSP00000030365,ENSMUSP00000032485,ENSMUSP00000032841,ENSMUSP00000044417,ENSMUSP00000044497,ENSMUSP00000053033,ENSMUSP00000062066,ENSMUSP00000115512	Mrpl12,Mrpl15,Mrpl34,Mrpl37,Mrpl46,Mrpl51,Mrps12,Mrps23,Mrps7
MMU-1474290	Collagen formation	9	89	0.00040	ENSMUSP00000015498,ENSMUSP00000022660,ENSMUSP00000031731,ENSMUSP00000040171,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000085192,ENSMUSP00000105846,ENSMUSP00000125803	Adamts2,Col12a1,Col14a1,Col3a1,Col8a2,Loxl2,Loxl4,Pcolce,Pcolce2
MMU-8963901	Chylomicron remodeling	4	9	0.00095	ENSMUSP00000005824,ENSMUSP00000023243,ENSMUSP00000034588,ENSMUSP00000133302	Apoa1,Apoa2,Apoe,Gpihbp1
MMU-1566948	Elastic fibre formation	6	37	0.00100	ENSMUSP00000022660,ENSMUSP00000024849,ENSMUSP00000028633,ENSMUSP00000048334,ENSMUSP00000054583,ENSMUSP00000125803	Emilin2,Fbln1,Fbln2,Fbn1,Loxl2,Loxl4
MMU-1650814	Collagen biosynthesis and modifying enzymes	7	61	0.0015	ENSMUSP00000015498,ENSMUSP00000031731,ENSMUSP00000040171,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000085192,ENSMUSP00000105846	Adamts2,Col12a1,Col14a1,Col3a1,Col8a2,Pcolce,Pcolce2
MMU-2022090	Assembly of collagen fibrils and other multimeric structures	7	62	0.0015	ENSMUSP00000022660,ENSMUSP00000031731,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000085192,ENSMUSP00000105846,ENSMUSP00000125803	Col12a1,Col14a1,Col3a1,Col8a2,Loxl2,Loxl4,Pcolce
MMU-977606	Regulation of Complement cascade	6	41	0.0015	ENSMUSP00000023994,ENSMUSP00000025229,ENSMUSP00000025230,ENSMUSP00000048041,ENSMUSP00000063707,ENSMUSP00000107607	C1ra,C2,Cd59a,Cfb,Cfh,Serping1
MMU-1474228	Degradation of the extracellular matrix	9	118	0.0020	ENSMUSP00000005532,ENSMUSP00000015664,ENSMUSP00000028633,ENSMUSP00000034187,ENSMUSP00000048183,ENSMUSP00000070270,ENSMUSP00000071662,ENSMUSP00000085192,ENSMUSP00000100924	Capn5,Col12a1,Col3a1,Col8a2,Ctsk,Dcn,Fbn1,Mmp2,Nid1
MMU-5173214	O-glycosylation of TSR domain-containing proteins	5	33	0.0042	ENSMUSP00000023610,ENSMUSP00000040171,ENSMUSP00000057796,ENSMUSP00000102796,ENSMUSP00000133637	Adamts1,Adamts12,Adamts2,Adamtsl1,Adamtsl3
MMU-8963898	Plasma lipoprotein assembly	4	17	0.0042	ENSMUSP00000005824,ENSMUSP00000034588,ENSMUSP00000104091,ENSMUSP00000133302	Apoa1,Apoa2,Apoc1,Apoe
MMU-392499	Metabolism of proteins	38	1497	0.0080	ENSMUSP00000002881,ENSMUSP00000003843,ENSMUSP00000005824,ENSMUSP00000017637,ENSMUSP00000023243,ENSMUSP00000023610,ENSMUSP00000024486,ENSMUSP00000026539,ENSMUSP00000026896,ENSMUSP00000028633,ENSMUSP00000030365,ENSMUSP00000031670,ENSMUSP00000032233,ENSMUSP00000032485,ENSMUSP00000032841,ENSMUSP00000034187,ENSMUSP00000034588,ENSMUSP00000038359,ENSMUSP00000040171,ENSMUSP00000044417,ENSMUSP00000044497,ENSMUSP00000048041,ENSMUSP00000051726,ENSMUSP00000051965,ENSMUSP00000053033,ENSMUSP00000057796,ENSMUSP00000062066,ENSMUSP00000063660,ENSMUSP00000077913,ENSMUSP00000088857,ENSMUSP00000091330,ENSMUSP00000091692,ENSMUSP00000102796,ENSMUSP00000115512,ENSMUSP00000118105,ENSMUSP00000120816,ENSMUSP00000133302,ENSMUSP00000133637	Adamts1,Adamts12,Adamts2,Adamtsl1,Adamtsl3,Ankrd9,Apoa1,Apoa2,Apoe,Cd109,Cd59a,Cp,Exoc4,Fbn1,Ffar4,Folr2,Fuom,Gng11,Gpihbp1,Igfbp4,Lsamp,Man1a,Mgat5,Mmp2,Mrpl12,Mrpl15,Mrpl34,Mrpl37,Mrpl46,Mrpl51,Mrps12,Mrps23,Mrps7,Nrip1,Nudt14,St8sia2,Taf10,Tuba8
MMU-8963888	Chylomicron assembly	3	9	0.0103	ENSMUSP00000005824,ENSMUSP00000034588,ENSMUSP00000133302	Apoa1,Apoa2,Apoe
MMU-3371568	Attenuation phase	3	12	0.0198	ENSMUSP00000005620,ENSMUSP00000084586,ENSMUSP00000133815	Dnajb1,Hspa1a,Hspa1b
MMU-2129379	Molecules associated with elastic fibres	4	31	0.0242	ENSMUSP00000024849,ENSMUSP00000028633,ENSMUSP00000048334,ENSMUSP00000054583	Emilin2,Fbln1,Fbln2,Fbn1
MMU-1369062	ABC transporters in lipid homeostasis	3	15	0.0317	ENSMUSP00000034588,ENSMUSP00000035458,ENSMUSP00000036338	Abca6,Abca9,Apoa1
MMU-174824	Plasma lipoprotein assembly, remodeling, and clearance	5	60	0.0344	ENSMUSP00000005824,ENSMUSP00000023243,ENSMUSP00000034588,ENSMUSP00000104091,ENSMUSP00000133302	Apoa1,Apoa2,Apoc1,Apoe,Gpihbp1
MMU-2243919	Crosslinking of collagen fibrils	3	16	0.0346	ENSMUSP00000022660,ENSMUSP00000031731,ENSMUSP00000125803	Loxl2,Loxl4,Pcolce
