#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0007005	mitochondrion organization	34	388	3.76e-23	ENSMUSP00000014438,ENSMUSP00000016571,ENSMUSP00000018743,ENSMUSP00000019833,ENSMUSP00000020440,ENSMUSP00000022419,ENSMUSP00000023851,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032555,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000041380,ENSMUSP00000043543,ENSMUSP00000050156,ENSMUSP00000051643,ENSMUSP00000054086,ENSMUSP00000059494,ENSMUSP00000065352,ENSMUSP00000068450,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093972,ENSMUSP00000099758,ENSMUSP00000101003,ENSMUSP00000103438,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115512,ENSMUSP00000126298	AI462493,Atg4d,Chchd4,Coq7,Cox17,Dnajc11,Flcn,Fmc1,Mief2,Mrpl15,Ndufa1,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Ppif,Timm13,Timm8a1,Timm9,Tmem11,Tomm40,Tomm5
GO:0032981	mitochondrial respiratory chain complex I assembly	17	41	1.48e-20	ENSMUSP00000014438,ENSMUSP00000016571,ENSMUSP00000023851,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963	Ndufa1,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7
GO:0033108	mitochondrial respiratory chain complex assembly	19	74	3.37e-20	ENSMUSP00000014438,ENSMUSP00000016571,ENSMUSP00000023851,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000054086,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093972,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963	AI462493,Cox17,Ndufa1,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7
GO:0055114	oxidation-reduction process	36	898	1.10e-14	ENSMUSP00000000260,ENSMUSP00000005824,ENSMUSP00000014438,ENSMUSP00000014457,ENSMUSP00000016571,ENSMUSP00000020372,ENSMUSP00000021522,ENSMUSP00000023040,ENSMUSP00000023085,ENSMUSP00000023851,ENSMUSP00000026561,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000034469,ENSMUSP00000034588,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000041380,ENSMUSP00000043543,ENSMUSP00000065352,ENSMUSP00000066092,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093972,ENSMUSP00000095970,ENSMUSP00000096193,ENSMUSP00000096753,ENSMUSP00000101003,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	AI462493,Apoa1,Apoa2,Chchd4,Coq7,Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Ech1,Egln1,Glrx5,Gmpr,Mlycd,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Nnt,Slc25a17,Uqcr11
GO:0022900	electron transport chain	14	120	2.17e-10	ENSMUSP00000014457,ENSMUSP00000020372,ENSMUSP00000021522,ENSMUSP00000023851,ENSMUSP00000026561,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000065352,ENSMUSP00000092746,ENSMUSP00000093972,ENSMUSP00000096193,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	AI462493,Coq7,Cox6c,Cox7a1,Cox7c,Cox8b,Cycs,Glrx5,Ndufa12,Ndufa5,Ndufa8,Ndufb6,Ndufc2,Uqcr11
GO:0009150	purine ribonucleotide metabolic process	18	356	4.41e-08	ENSMUSP00000016396,ENSMUSP00000021114,ENSMUSP00000022120,ENSMUSP00000026561,ENSMUSP00000027853,ENSMUSP00000030385,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000037025,ENSMUSP00000047855,ENSMUSP00000065352,ENSMUSP00000092746,ENSMUSP00000093972,ENSMUSP00000095970,ENSMUSP00000102147,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	AI462493,Acot12,Atp5e,Atp5h,Coq7,Cox7c,Cox8b,Cycs,Galk1,Mcee,Mlycd,Mpc2,Ndufa12,Ndufa8,Ndufb6,Ndufc2,Pde4a,Ppcs
GO:0034622	cellular protein-containing complex assembly	24	687	4.41e-08	ENSMUSP00000014438,ENSMUSP00000016571,ENSMUSP00000019833,ENSMUSP00000023851,ENSMUSP00000029925,ENSMUSP00000030401,ENSMUSP00000032882,ENSMUSP00000033717,ENSMUSP00000037341,ENSMUSP00000038463,ENSMUSP00000043543,ENSMUSP00000053033,ENSMUSP00000054086,ENSMUSP00000065352,ENSMUSP00000075953,ENSMUSP00000092746,ENSMUSP00000093972,ENSMUSP00000101003,ENSMUSP00000104067,ENSMUSP00000105796,ENSMUSP00000112320,ENSMUSP00000114095,ENSMUSP00000114963,ENSMUSP00000118105	AI462493,Cox17,Fmc1,Hccs,Mrps7,Ndufa1,Ndufa13,Ndufa2,Ndufa3,Ndufa5,Ndufa8,Ndufaf4,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Rps19,Taf10
GO:0072521	purine-containing compound metabolic process	19	410	4.41e-08	ENSMUSP00000000260,ENSMUSP00000016396,ENSMUSP00000021114,ENSMUSP00000022120,ENSMUSP00000026561,ENSMUSP00000027853,ENSMUSP00000030385,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000037025,ENSMUSP00000047855,ENSMUSP00000065352,ENSMUSP00000092746,ENSMUSP00000093972,ENSMUSP00000095970,ENSMUSP00000102147,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	AI462493,Acot12,Atp5e,Atp5h,Coq7,Cox7c,Cox8b,Cycs,Galk1,Gmpr,Mcee,Mlycd,Mpc2,Ndufa12,Ndufa8,Ndufb6,Ndufc2,Pde4a,Ppcs
GO:0042775	mitochondrial ATP synthesis coupled electron transport	9	51	6.35e-08	ENSMUSP00000026561,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000065352,ENSMUSP00000092746,ENSMUSP00000093972,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	AI462493,Coq7,Cox7c,Cox8b,Cycs,Ndufa12,Ndufa8,Ndufb6,Ndufc2
GO:0009117	nucleotide metabolic process	20	488	6.77e-08	ENSMUSP00000000260,ENSMUSP00000016396,ENSMUSP00000021114,ENSMUSP00000022120,ENSMUSP00000026561,ENSMUSP00000027853,ENSMUSP00000030385,ENSMUSP00000032882,ENSMUSP00000032887,ENSMUSP00000037025,ENSMUSP00000047855,ENSMUSP00000065352,ENSMUSP00000092746,ENSMUSP00000093972,ENSMUSP00000095970,ENSMUSP00000096753,ENSMUSP00000102147,ENSMUSP00000115419,ENSMUSP00000124523,ENSMUSP00000136313	AI462493,Acot12,Atp5e,Atp5h,Coq7,Cox7c,Cox8b,Cycs,Galk1,Gmpr,Mcee,Mlycd,Mpc2,Ndufa12,Ndufa8,Ndufb6,Ndufc2,Nnt,Pde4a,Ppcs
