#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
MMU-397014	Muscle contraction	20	162	5.29e-07	ENSMUSP00000022369,ENSMUSP00000028377,ENSMUSP00000033473,ENSMUSP00000047353,ENSMUSP00000048218,ENSMUSP00000069063,ENSMUSP00000071720,ENSMUSP00000074658,ENSMUSP00000074922,ENSMUSP00000077273,ENSMUSP00000096357,ENSMUSP00000107869,ENSMUSP00000108413,ENSMUSP00000109633,ENSMUSP00000110371,ENSMUSP00000110673,ENSMUSP00000119242,ENSMUSP00000128803,ENSMUSP00000128926,ENSMUSP00000134758	Acta2,Actg2,Asph,Atp1b2,Atp2b4,Cacna1c,Cacna1d,Cacnb2,Cald1,Camk2g,Cav3,Dmd,Fgf13,Kcnd3,Kcnip1,Kcnip4,Myl6,Scn2a1,Slc8a2,Vcl
MMU-5576891	Cardiac conduction	13	113	0.00045	ENSMUSP00000028377,ENSMUSP00000033473,ENSMUSP00000047353,ENSMUSP00000069063,ENSMUSP00000071720,ENSMUSP00000077273,ENSMUSP00000096357,ENSMUSP00000107869,ENSMUSP00000108413,ENSMUSP00000110371,ENSMUSP00000119242,ENSMUSP00000128926,ENSMUSP00000134758	Asph,Atp1b2,Atp2b4,Cacna1c,Cacna1d,Cacnb2,Camk2g,Fgf13,Kcnd3,Kcnip1,Kcnip4,Scn2a1,Slc8a2
MMU-216083	Integrin cell surface interactions	10	68	0.00066	ENSMUSP00000028106,ENSMUSP00000028499,ENSMUSP00000034472,ENSMUSP00000044227,ENSMUSP00000084282,ENSMUSP00000087457,ENSMUSP00000096040,ENSMUSP00000098765,ENSMUSP00000108553,ENSMUSP00000109084	Col4a3,Col4a4,Col4a5,Col4a6,Col6a6,Itga8,Itga9,Itgav,Itgb1,Jam3
MMU-109582	Hemostasis	27	489	0.0011	ENSMUSP00000021554,ENSMUSP00000022369,ENSMUSP00000026302,ENSMUSP00000027467,ENSMUSP00000028252,ENSMUSP00000028499,ENSMUSP00000033699,ENSMUSP00000034472,ENSMUSP00000035658,ENSMUSP00000043849,ENSMUSP00000047353,ENSMUSP00000069011,ENSMUSP00000073268,ENSMUSP00000077314,ENSMUSP00000087371,ENSMUSP00000087457,ENSMUSP00000092376,ENSMUSP00000097519,ENSMUSP00000104099,ENSMUSP00000107795,ENSMUSP00000113157,ENSMUSP00000114094,ENSMUSP00000114578,ENSMUSP00000119242,ENSMUSP00000121127,ENSMUSP00000127751,ENSMUSP00000128926	Actn1,Atp1b2,Atp2b4,Cbx5,Dgkg,Endod1,Flna,Gnb4,Gng8,Grb14,Itgav,Itgb1,Jam3,Klc3,Maged2,Mical1,Mrvi1,Pcdh7,Pde5a,Prkg1,Qsox1,Rab27b,Serpine2,Slc8a2,Tgfb2,Tmsb4x,Vcl
MMU-445355	Smooth Muscle Contraction	6	23	0.0021	ENSMUSP00000022369,ENSMUSP00000048218,ENSMUSP00000074658,ENSMUSP00000074922,ENSMUSP00000110673,ENSMUSP00000128803	Acta2,Actg2,Cald1,Cav3,Myl6,Vcl
MMU-422475	Axon guidance	17	248	0.0028	ENSMUSP00000006112,ENSMUSP00000025379,ENSMUSP00000028499,ENSMUSP00000043765,ENSMUSP00000044227,ENSMUSP00000047173,ENSMUSP00000066894,ENSMUSP00000069549,ENSMUSP00000071966,ENSMUSP00000073099,ENSMUSP00000076115,ENSMUSP00000077781,ENSMUSP00000084282,ENSMUSP00000087457,ENSMUSP00000096040,ENSMUSP00000108553,ENSMUSP00000109084	Ank2,Col4a3,Col4a4,Col4a5,Col6a6,Dpysl3,Efna5,Enah,Epha1,Ephb3,Itga9,Itgav,Itgb1,Ngef,Pdlim7,Plxnb1,Rock1
MMU-8948216	Collagen chain trimerization	7	40	0.0030	ENSMUSP00000084282,ENSMUSP00000096040,ENSMUSP00000098765,ENSMUSP00000099981,ENSMUSP00000108553,ENSMUSP00000109084,ENSMUSP00000110899	Col15a1,Col19a1,Col4a3,Col4a4,Col4a5,Col4a6,Col6a6
MMU-1474244	Extracellular matrix organization	16	246	0.0063	ENSMUSP00000001927,ENSMUSP00000028106,ENSMUSP00000028499,ENSMUSP00000034472,ENSMUSP00000038366,ENSMUSP00000043849,ENSMUSP00000044227,ENSMUSP00000084282,ENSMUSP00000087457,ENSMUSP00000095392,ENSMUSP00000096040,ENSMUSP00000098765,ENSMUSP00000099981,ENSMUSP00000108553,ENSMUSP00000109084,ENSMUSP00000110899	Col15a1,Col19a1,Col4a3,Col4a4,Col4a5,Col4a6,Col6a6,Dst,Itga8,Itga9,Itgav,Itgb1,Jam3,Ltbp1,Scube3,Tgfb2
MMU-3000171	Non-integrin membrane-ECM interactions	6	34	0.0078	ENSMUSP00000028499,ENSMUSP00000084282,ENSMUSP00000087457,ENSMUSP00000098765,ENSMUSP00000108553,ENSMUSP00000109084	Col4a3,Col4a4,Col4a5,Col4a6,Itgav,Itgb1
MMU-416482	G alpha (12/13) signalling events	8	68	0.0078	ENSMUSP00000029694,ENSMUSP00000031750,ENSMUSP00000066894,ENSMUSP00000069549,ENSMUSP00000071966,ENSMUSP00000077314,ENSMUSP00000109516,ENSMUSP00000121127	Arhgef2,Arhgef5,Arhgef9,Gnb4,Gng8,Ngef,Plxnb1,Rock1
