#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu04270	Vascular smooth muscle contraction	19	125	2.58e-08	ENSMUSP00000020362,ENSMUSP00000023538,ENSMUSP00000029635,ENSMUSP00000048218,ENSMUSP00000048918,ENSMUSP00000069257,ENSMUSP00000069549,ENSMUSP00000073268,ENSMUSP00000074658,ENSMUSP00000085913,ENSMUSP00000087756,ENSMUSP00000095253,ENSMUSP00000107869,ENSMUSP00000108413,ENSMUSP00000110673,ENSMUSP00000114578,ENSMUSP00000128803,ENSMUSP00000131406,ENSMUSP00000140275	Acta2,Actg2,Cacna1c,Cacna1d,Cald1,Gucy1a3,Gucy1b3,Kcnma1,Kcnmb1,Mrvi1,Myh11,Myl6,Myl9,Mylk,Ppp1r12a,Ppp1r12b,Prkg1,Ramp1,Rock1
mmu04510	Focal adhesion	21	195	4.13e-07	ENSMUSP00000021554,ENSMUSP00000022369,ENSMUSP00000023538,ENSMUSP00000028106,ENSMUSP00000028499,ENSMUSP00000033699,ENSMUSP00000044227,ENSMUSP00000069257,ENSMUSP00000069549,ENSMUSP00000074922,ENSMUSP00000084282,ENSMUSP00000085913,ENSMUSP00000087457,ENSMUSP00000096040,ENSMUSP00000097153,ENSMUSP00000098765,ENSMUSP00000108553,ENSMUSP00000109084,ENSMUSP00000128308,ENSMUSP00000128388,ENSMUSP00000131406	Actn1,Cav3,Col4a3,Col4a4,Col4a5,Col4a6,Col6a6,Flna,Itga8,Itga9,Itgav,Itgb1,Myl9,Mylk,Pak6,Pdgfd,Ppp1r12a,Ppp1r12b,Rock1,Thbs2,Vcl
mmu04022	cGMP-PKG signaling pathway	19	164	5.17e-07	ENSMUSP00000020362,ENSMUSP00000023538,ENSMUSP00000029635,ENSMUSP00000038532,ENSMUSP00000047353,ENSMUSP00000048918,ENSMUSP00000069011,ENSMUSP00000069257,ENSMUSP00000069549,ENSMUSP00000073268,ENSMUSP00000083725,ENSMUSP00000085913,ENSMUSP00000107869,ENSMUSP00000108413,ENSMUSP00000114578,ENSMUSP00000119242,ENSMUSP00000128926,ENSMUSP00000132547,ENSMUSP00000140275	Atp1b2,Atp2b4,Cacna1c,Cacna1d,Creb5,Gucy1a3,Gucy1b3,Kcnma1,Kcnmb1,Mef2c,Mrvi1,Myl9,Mylk,Pde5a,Ppp1r12a,Prkg1,Rock1,Slc8a1,Slc8a2
mmu05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	13	71	7.83e-07	ENSMUSP00000028106,ENSMUSP00000028499,ENSMUSP00000044227,ENSMUSP00000049457,ENSMUSP00000077106,ENSMUSP00000083725,ENSMUSP00000087457,ENSMUSP00000101080,ENSMUSP00000107869,ENSMUSP00000108413,ENSMUSP00000109633,ENSMUSP00000110371,ENSMUSP00000115062	Cacna1c,Cacna1d,Cacna2d1,Cacnb2,Ctnna3,Dmd,Dsp,Itga8,Itga9,Itgav,Itgb1,Sgcg,Slc8a1
mmu05410	Hypertrophic cardiomyopathy (HCM)	13	82	2.85e-06	ENSMUSP00000003687,ENSMUSP00000028106,ENSMUSP00000028499,ENSMUSP00000043849,ENSMUSP00000044227,ENSMUSP00000049457,ENSMUSP00000077106,ENSMUSP00000083725,ENSMUSP00000087457,ENSMUSP00000107869,ENSMUSP00000108413,ENSMUSP00000109633,ENSMUSP00000110371	Cacna1c,Cacna1d,Cacna2d1,Cacnb2,Dmd,Itga8,Itga9,Itgav,Itgb1,Sgcg,Slc8a1,Tgfb2,Tgfb3
mmu04360	Axon guidance	18	174	3.12e-06	ENSMUSP00000006112,ENSMUSP00000029948,ENSMUSP00000030568,ENSMUSP00000030868,ENSMUSP00000066554,ENSMUSP00000066894,ENSMUSP00000069024,ENSMUSP00000069549,ENSMUSP00000071720,ENSMUSP00000071966,ENSMUSP00000073099,ENSMUSP00000076115,ENSMUSP00000077781,ENSMUSP00000087457,ENSMUSP00000097153,ENSMUSP00000101843,ENSMUSP00000110380,ENSMUSP00000128521	Bmpr1b,Camk2g,Efna5,Enah,Epha1,Epha3,Ephb3,Ephb6,Itgb1,Ngef,Pak6,Plxnb1,Rock1,Sema3c,Sema3d,Sema5a,Unc5c,Unc5d
mmu05414	Dilated cardiomyopathy (DCM)	13	86	3.35e-06	ENSMUSP00000003687,ENSMUSP00000028106,ENSMUSP00000028499,ENSMUSP00000043849,ENSMUSP00000044227,ENSMUSP00000049457,ENSMUSP00000077106,ENSMUSP00000083725,ENSMUSP00000087457,ENSMUSP00000107869,ENSMUSP00000108413,ENSMUSP00000109633,ENSMUSP00000110371	Cacna1c,Cacna1d,Cacna2d1,Cacnb2,Dmd,Itga8,Itga9,Itgav,Itgb1,Sgcg,Slc8a1,Tgfb2,Tgfb3
mmu04810	Regulation of actin cytoskeleton	19	208	6.17e-06	ENSMUSP00000021554,ENSMUSP00000022369,ENSMUSP00000023538,ENSMUSP00000025800,ENSMUSP00000028106,ENSMUSP00000028499,ENSMUSP00000044227,ENSMUSP00000045710,ENSMUSP00000069257,ENSMUSP00000069549,ENSMUSP00000077781,ENSMUSP00000085913,ENSMUSP00000087457,ENSMUSP00000097153,ENSMUSP00000099671,ENSMUSP00000107795,ENSMUSP00000112430,ENSMUSP00000128388,ENSMUSP00000131406	Actn1,Enah,Fgf1,Fgfr2,Itga8,Itga9,Itgav,Itgb1,Myh10,Myl9,Mylk,Pak6,Pdgfd,Pip5k1b,Ppp1r12a,Ppp1r12b,Rock1,Tmsb4x,Vcl
mmu04512	ECM-receptor interaction	11	81	6.34e-05	ENSMUSP00000028106,ENSMUSP00000028499,ENSMUSP00000040071,ENSMUSP00000044227,ENSMUSP00000084282,ENSMUSP00000087457,ENSMUSP00000096040,ENSMUSP00000098765,ENSMUSP00000108553,ENSMUSP00000109084,ENSMUSP00000128308	Col4a3,Col4a4,Col4a5,Col4a6,Col6a6,Itga8,Itga9,Itgav,Itgb1,Npnt,Thbs2
mmu04350	TGF-beta signaling pathway	11	84	7.85e-05	ENSMUSP00000001927,ENSMUSP00000003687,ENSMUSP00000007757,ENSMUSP00000020974,ENSMUSP00000021810,ENSMUSP00000025075,ENSMUSP00000029371,ENSMUSP00000029948,ENSMUSP00000035900,ENSMUSP00000043849,ENSMUSP00000069549	Bambi,Bmpr1a,Bmpr1b,Id2,Id4,Ltbp1,Rock1,Smad9,Tgfb2,Tgfb3,Tgfbr1
mmu04921	Oxytocin signaling pathway	14	149	0.00013	ENSMUSP00000023538,ENSMUSP00000029635,ENSMUSP00000048918,ENSMUSP00000049457,ENSMUSP00000069257,ENSMUSP00000069549,ENSMUSP00000071720,ENSMUSP00000085913,ENSMUSP00000107869,ENSMUSP00000108413,ENSMUSP00000110371,ENSMUSP00000128803,ENSMUSP00000131406,ENSMUSP00000132547	Cacna1c,Cacna1d,Cacna2d1,Cacnb2,Camk2g,Gucy1a3,Gucy1b3,Mef2c,Myl6,Myl9,Mylk,Ppp1r12a,Ppp1r12b,Rock1
mmu05165	Human papillomavirus infection	19	335	0.0024	ENSMUSP00000019924,ENSMUSP00000028106,ENSMUSP00000028499,ENSMUSP00000031681,ENSMUSP00000038532,ENSMUSP00000043828,ENSMUSP00000044227,ENSMUSP00000072942,ENSMUSP00000084282,ENSMUSP00000085299,ENSMUSP00000087457,ENSMUSP00000096040,ENSMUSP00000098765,ENSMUSP00000106443,ENSMUSP00000108553,ENSMUSP00000109084,ENSMUSP00000109884,ENSMUSP00000124083,ENSMUSP00000128308	Col4a3,Col4a4,Col4a5,Col4a6,Col6a6,Creb5,Dlg3,Fzd7,H2-Q1,Hdac11,Hdac9,Hey2,Itga8,Itga9,Itgav,Itgb1,Maml2,Thbs2,Wnt16
mmu04974	Protein digestion and absorption	9	90	0.0031	ENSMUSP00000047353,ENSMUSP00000083725,ENSMUSP00000084282,ENSMUSP00000096040,ENSMUSP00000098765,ENSMUSP00000099981,ENSMUSP00000108553,ENSMUSP00000109084,ENSMUSP00000128926	Atp1b2,Col15a1,Col4a3,Col4a4,Col4a5,Col4a6,Col6a6,Slc8a1,Slc8a2
mmu04713	Circadian entrainment	9	95	0.0041	ENSMUSP00000029635,ENSMUSP00000048918,ENSMUSP00000071720,ENSMUSP00000073268,ENSMUSP00000077314,ENSMUSP00000107869,ENSMUSP00000108413,ENSMUSP00000121127,ENSMUSP00000125251	Cacna1c,Cacna1d,Camk2g,Gnb4,Gng8,Gucy1a3,Gucy1b3,Nos1ap,Prkg1
mmu05205	Proteoglycans in cancer	13	199	0.0061	ENSMUSP00000028499,ENSMUSP00000031681,ENSMUSP00000033699,ENSMUSP00000043765,ENSMUSP00000043849,ENSMUSP00000069257,ENSMUSP00000069549,ENSMUSP00000071720,ENSMUSP00000074922,ENSMUSP00000087457,ENSMUSP00000109884,ENSMUSP00000128056,ENSMUSP00000131406	Ank2,Camk2g,Cav3,Flna,Fzd7,Ihh,Itgav,Itgb1,Ppp1r12a,Ppp1r12b,Rock1,Tgfb2,Wnt16
mmu04151	PI3K-Akt signaling pathway	18	349	0.0073	ENSMUSP00000028106,ENSMUSP00000028499,ENSMUSP00000038532,ENSMUSP00000044227,ENSMUSP00000045710,ENSMUSP00000076115,ENSMUSP00000077314,ENSMUSP00000084282,ENSMUSP00000087457,ENSMUSP00000096040,ENSMUSP00000098765,ENSMUSP00000107863,ENSMUSP00000108553,ENSMUSP00000109084,ENSMUSP00000112430,ENSMUSP00000121127,ENSMUSP00000128308,ENSMUSP00000128388	Col4a3,Col4a4,Col4a5,Col4a6,Col6a6,Creb5,Efna5,Fgf1,Fgfr2,Gnb4,Gng8,Itga8,Itga9,Itgav,Itgb1,Ntf3,Pdgfd,Thbs2
